"AGED -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES 
ENROLLED IN PARTS A AND/OR B 
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,
01340,ALABAMA,HOUSTON,"13,051","46,541,521",297.18,"43,514,557",277.85,"245,472","2,716,455","65,037","12,339","50,941,814",344.04,0.959,,,,,
01350,ALABAMA,JACKSON,"8,533","29,792,130",290.95,"27,375,498",267.35,"347,970","1,937,418","131,244","8,088","34,952,190",360.12,0.997,,,,,
01360,ALABAMA,JEFFERSON,"60,871","221,020,325",302.58,"200,866,460",274.99,"7,050,723","9,500,717","3,602,425","54,415","226,986,027",347.62,0.942,,,,,
01370,ALABAMA,LAMAR,"2,619","10,650,283",338.88,"9,760,279",310.56,"154,677","685,334","49,993","2,536","11,411,729",374.99,0.971,,,,,
01380,ALABAMA,LAUDERDALE,"14,487","48,263,728",277.63,"45,214,064",260.08,"465,139","2,460,046","124,478","13,878","52,204,999",313.48,0.948,,,,,
01390,ALABAMA,LAWRENCE,"3,856","13,863,285",299.60,"12,880,804",278.37,"127,304","814,563","40,614","3,748","17,245,777",383.44,0.998,,,,,
01400,ALABAMA,LEE,"11,495","32,965,489",238.98,"29,932,119",216.99,"335,282","2,593,777","104,311","10,659","39,109,375",305.76,0.919,,,,,
01410,ALABAMA,LIMESTONE,"8,427","26,614,089",263.18,"24,412,770",241.41,"307,082","1,806,941","87,296","7,883","36,571,458",386.61,0.970,,,,,
01420,ALABAMA,LOWNDES,954,"3,129,356",273.35,"2,753,300",240.50,"70,981","288,276","16,799",896,"3,805,630",353.95,0.964,,,,,
01430,ALABAMA,MACON,"2,546","7,854,879",257.10,"7,208,753",235.95,"68,267","552,868","24,991","2,215","7,692,351",289.40,0.948,,,,,
01440,ALABAMA,MADISON,"40,314","138,575,555",286.45,"129,323,625",267.33,"1,957,998","6,691,730","602,202","36,600","169,445,695",385.81,0.958,,,,,
