"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01320,ALABAMA                  ,HALE                   ,"2,457","10,438,197",354.03,"9,244,542",313.54,"249,495","858,137","86,022","2,368","9,585,289",337.32,0.905,,,,,,
01330,ALABAMA                  ,HENRY                  ,"2,465","7,798,539",263.64,"7,199,929",243.41,"18,506","573,959","6,144","2,322","9,334,382",335.00,0.935,,,,,,
01340,ALABAMA                  ,HOUSTON                ,"12,595","45,618,905",301.83,"42,158,321",278.94,"253,251","3,143,687","63,644","11,915","49,348,640",345.14,0.955,,,,,,
01350,ALABAMA                  ,JACKSON                ,"8,414","30,027,152",297.39,"27,152,640",268.92,"384,248","2,355,595","134,666","8,013","35,409,457",368.25,1.000,,,,,,
01360,ALABAMA                  ,JEFFERSON              ,"60,357","226,140,295",312.23,"204,165,424",281.89,"7,139,184","10,892,168","3,943,517","54,508","230,948,048",353.08,0.948,,,,,,
01370,ALABAMA                  ,LAMAR                  ,"2,616","10,924,649",348.01,"9,924,556",316.15,"155,076","792,140","52,876","2,540","11,579,353",379.90,0.994,,,,,,
01380,ALABAMA                  ,LAUDERDALE             ,"14,319","48,813,598",284.08,"45,214,491",263.14,"536,744","2,924,793","137,568","13,759","52,181,617",316.05,0.939,,,,,,
01390,ALABAMA                  ,LAWRENCE               ,"3,832","15,122,702",328.87,"13,860,282",301.42,"169,041","1,044,141","49,237","3,722","17,301,122",387.36,1.022,,,,,,
01400,ALABAMA                  ,LEE                    ,"11,068","33,463,331",251.95,"29,786,456",224.27,"393,638","3,172,292","110,944","10,290","38,344,227",310.53,0.916,,,,,,
01410,ALABAMA                  ,LIMESTONE              ,"8,204","28,593,139",290.44,"25,961,343",263.71,"302,169","2,245,012","84,612","7,707","36,309,190",392.60,0.963,,,,,,
01420,ALABAMA                  ,LOWNDES                ,947,"3,182,545",280.05,"2,766,495",243.44,"53,803","345,132","17,114",896,"3,770,359",350.67,0.950,,,,,,
01430,ALABAMA                  ,MACON                  ,"2,518","9,403,754",311.22,"8,535,824",282.49,"75,886","762,656","29,384","2,185","7,456,690",284.39,0.941,,,,,,
01440,ALABAMA                  ,MADISON                ,"39,253","134,966,836",286.53,"124,246,226",263.77,"1,953,325","8,217,486","549,796","35,716","166,753,396",389.07,0.943,,,,,,
