"AGED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) , FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B , PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,
01350,ALABAMA,JACKSON,"8,163","31,342,245",319.96,"28,195,905",287.84,"405,145","2,596,539","144,654","7,788","34,295,602",366.97,0.994,,,,
01360,ALABAMA,JEFFERSON,"58,076","227,742,085",326.79,"206,688,454",296.58,"6,873,111","9,964,402","4,216,116","52,939","221,437,360",348.57,0.944,,,,
01370,ALABAMA,LAMAR,"2,586","12,082,244",389.35,"11,103,153",357.80,"178,850","745,507","54,733","2,518","11,016,455",364.59,0.966,,,,
01380,ALABAMA,LAUDERDALE,"13,858","47,463,400",285.42,"44,078,345",265.06,"398,942","2,877,685","108,426","13,355","51,431,202",320.92,0.952,,,,
01390,ALABAMA,LAWRENCE,"3,717","15,888,349",356.21,"14,652,701",328.51,"118,363","1,078,117","39,167","3,625","16,448,072",378.12,1.036,,,,
01400,ALABAMA,LEE,"10,579","32,714,713",257.70,"29,410,244",231.67,"277,047","2,929,639","97,782","9,921","36,034,068",302.68,0.910,,,,
01410,ALABAMA,LIMESTONE,"8,024","28,820,685",299.32,"26,126,279",271.33,"360,750","2,244,927","88,728","7,559","34,518,753",380.55,0.943,,,,
01420,ALABAMA,LOWNDES,941,"3,937,156",348.67,"3,359,268",297.49,"92,993","464,375","20,518",891,"3,724,061",348.30,0.931,,,,
01430,ALABAMA,MACON,"2,452","8,777,273",298.30,"7,914,489",268.98,"81,968","754,252","26,563","2,115","6,792,788",267.64,0.942,,,,
01440,ALABAMA,MADISON,"37,824","135,052,659",297.55,"124,179,312",273.59,"1,835,457","8,456,814","581,074","34,588","151,717,550",365.54,0.940,,,,
01450,ALABAMA,MARENGO,"2,555","10,265,444",334.82,"9,239,861",301.37,"198,818","740,607","86,157","2,513","9,604,495",318.49,0.948,,,,
01460,ALABAMA,MARION,"4,438","18,840,859",353.78,"17,498,357",328.57,"259,227","984,361","98,912","4,313","19,439,926",375.61,0.979,,,,
01470,ALABAMA,MARSHALL,"13,065","54,152,077",345.40,"49,712,676",317.09,"545,189","3,678,990","215,220","12,326","55,323,642",374.03,1.008,,,,
01480,ALABAMA,MOBILE,"32,243","116,345,057",300.70,"107,750,679",278.49,"1,446,764","6,389,566","758,046","29,859","126,755,833",353.76,0.959,,,,
01490,ALABAMA,MONROE,"2,779","10,073,449",302.07,"9,376,877",281.18,"63,306","599,745","33,520","2,684","11,386,047",353.52,0.929,,,,
01500,ALABAMA,MONTGOMERY,"21,297","82,754,482",323.81,"72,656,216",284.30,"1,245,709","8,450,048","402,507","19,561","86,380,884",368.00,0.928,,,,
01510,ALABAMA,MORGAN,"16,573","60,124,734",302.32,"55,474,362",278.94,"659,069","3,795,571","195,729","15,713","68,170,908",361.54,0.987,,,,
01520,ALABAMA,PERRY,"1,348","6,243,877",386.00,"5,236,107",323.70,"149,050","788,478","70,241","1,300","5,526,126",354.24,0.988,,,,
01530,ALABAMA,PICKENS,"2,912","15,575,600",445.73,"14,312,732",409.59,"221,356","960,188","81,323","2,831","13,497,605",397.32,0.954,,,,
01540,ALABAMA,PIKE,"3,481","14,529,316",347.82,"13,016,871",311.62,"212,483","1,246,614","53,347","3,282","14,548,583",369.40,0.928,,,,
01550,ALABAMA,RANDOLPH,"3,200","12,362,438",321.94,"11,236,482",292.62,"145,728","934,589","45,638","3,112","12,660,808",339.03,0.936,,,,
01560,ALABAMA,RUSSELL,"6,454","25,380,376",327.71,"22,986,048",296.79,"246,566","2,037,634","110,127","6,141","24,585,832",333.63,0.979,,,,
01570,ALABAMA,ST  CLAIR,"5,750","22,020,738",319.14,"20,008,009",289.97,"612,840","1,012,178","387,709","5,298","22,474,932",353.51,0.925,,,,
01580,ALABAMA,SHELBY,"9,283","35,149,435",315.54,"32,538,342",292.10,"561,795","1,779,362","269,935","8,433","38,385,341",379.32,0.903,,,,
01590,ALABAMA,SUMTER,"1,661","6,681,298",335.20,"6,059,711",304.02,"75,882","515,920","29,783","1,645","6,401,054",324.27,0.954,,,,
01600,ALABAMA,TALLADEGA,"8,941","38,482,043",358.67,"34,446,665",321.06,"586,273","3,143,887","305,216","8,559","37,032,363",360.56,0.976,,,,
01610,ALABAMA,TALLAPOOSA,"6,035","21,586,438",298.07,"19,471,464",268.87,"184,022","1,857,242","73,709","5,801","26,821,335",385.30,0.961,,,,
