"AGED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) , FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B , PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,
16540,IOWA,KOSSUTH,"2,989","11,259,714",313.92,"10,613,931",295.92,"298,716","263,847","83,219","2,883","11,329,585",327.48,0.849,,,,
16550,IOWA,LEE,"5,437","19,305,528",295.90,"17,099,044",262.08,"697,503","1,312,037","196,942","5,221","18,137,623",289.50,0.948,,,,
16560,IOWA,LINN,"20,218","66,066,752",272.31,"60,996,477",251.41,"1,338,721","3,204,423","527,130","18,673","65,834,274",293.80,0.987,,,,
16570,IOWA,LOUISA,"1,515","6,080,025",334.43,"5,366,071",295.16,"268,681","365,793","79,479","1,432","4,954,359",288.31,0.884,,,,
16580,IOWA,LUCAS,"1,564","5,074,793",270.40,"4,705,484",250.72,"105,458","236,807","27,042","1,468","5,966,891",338.72,0.928,,,,
16590,IOWA,LYON,"1,695","7,028,482",345.55,"6,614,376",325.19,"90,538","289,019","34,547","1,614","6,180,762",319.12,0.836,,,,
16600,IOWA,MADISON,"1,917","5,645,455",245.41,"5,171,969",224.83,"159,904","284,383","29,197","1,792","6,749,538",313.87,0.871,,,,
16610,IOWA,MAHASKA,"3,056","9,863,043",268.95,"9,151,745",249.56,"260,163","391,722","59,412","2,892","10,157,569",292.69,0.925,,,,
16620,IOWA,MARION,"4,838","17,507,385",301.56,"16,451,010",283.36,"328,771","659,712","67,890","4,566","19,949,934",364.10,0.914,,,,
16630,IOWA,MARSHALL,"6,122","18,231,172",248.16,"16,808,414",228.80,"401,937","931,617","89,202","5,845","21,099,689",300.82,1.004,,,,
16640,IOWA,MILLS,"1,832","7,525,606",342.32,"6,837,260",311.01,"209,450","374,457","104,437","1,728","6,501,639",313.54,0.961,,,,
16650,IOWA,MITCHELL,"2,259","8,967,687",330.81,"8,189,047",302.09,"445,130","209,006","124,503","2,196","7,790,321",295.63,0.810,,,,
16660,IOWA,MONONA,"1,743","6,244,091",298.53,"5,653,874",270.31,"213,239","266,437","110,540","1,675","6,605,534",328.63,0.972,,,,
16670,IOWA,MONROE,"1,251","4,356,912",290.23,"4,072,949",271.31,"91,644","166,347","25,969","1,194","4,768,954",332.84,0.944,,,,
16680,IOWA,MONTGOMERY,"2,009","9,963,882",413.30,"9,401,292",389.97,"191,870","292,759","77,960","1,924","8,145,757",352.81,1.017,,,,
16690,IOWA,MUSCATINE,"4,929","17,287,309",292.27,"15,038,176",254.25,"818,574","1,200,142","230,417","4,639","16,528,616",296.91,0.934,,,,
16700,IOWA,O'BRIEN,"2,674","8,567,223",266.99,"8,164,738",254.45,"131,279","229,444","41,761","2,574","10,678,635",345.72,0.821,,,,
16710,IOWA,OSCEOLA,"1,095","3,170,135",241.26,"3,021,050",229.91,"30,525","104,806","13,754","1,046","3,598,949",286.72,0.872,,,,
16720,IOWA,PAGE,"2,806","13,807,905",410.07,"12,613,932",374.61,"501,865","523,073","169,033","2,700","12,345,566",381.04,1.033,,,,
16730,IOWA,PALO ALTO,"1,896","7,525,078",330.74,"7,122,368",313.04,"164,720","186,567","51,422","1,835","8,631,659",391.99,0.883,,,,
16740,IOWA,PLYMOUTH,"3,259","11,068,387",283.02,"10,428,216",266.65,"200,470","363,055","76,644","3,094","12,731,587",342.91,0.956,,,,
16750,IOWA,POCAHONTAS,"1,546","5,442,164",293.35,"5,194,053",279.97,"89,904","134,306","23,899","1,491","6,478,858",362.11,0.927,,,,
16760,IOWA,POLK,"41,154","133,429,000",270.18,"119,318,547",241.61,"4,301,383","8,627,067","1,182,000","37,406","131,268,921",292.44,0.944,,,,
16770,IOWA,POTTAWATTAMIE,"10,281","40,669,526",329.65,"36,584,474",296.54,"879,806","2,800,326","404,918","9,574","35,537,002",309.32,0.951,,,,
16780,IOWA,POWESHIEK,"3,099","9,055,984",243.52,"8,300,538",223.20,"294,155","392,548","68,742","2,938","10,051,723",285.11,0.867,,,,
16790,IOWA,RINGGOLD,956,"3,575,917",311.71,"3,381,530",294.76,"57,687","123,665","13,034",915,"4,451,207",405.39,0.956,,,,
16800,IOWA,SAC,"2,164","9,841,639",378.99,"9,456,943",364.18,"136,137","207,350","41,207","2,078","9,012,801",361.44,0.982,,,,
16810,IOWA,SCOTT,"17,929","67,549,456",313.97,"60,844,181",282.80,"2,039,846","4,064,807","600,621","16,645","63,806,405",319.45,0.977,,,,
16820,IOWA,SHELBY,"2,223","9,178,828",344.09,"8,258,805",309.60,"339,080","408,047","172,895","2,123","8,701,376",341.55,0.951,,,,
16830,IOWA,SIOUX,"4,197","12,982,216",257.77,"12,307,016",244.36,"182,220","427,453","65,526","4,012","16,312,273",338.82,0.902,,,,
16840,IOWA,STORY,"8,585","27,265,806",264.67,"26,290,656",255.20,"354,815","524,085","96,249","7,885","30,738,778",324.87,0.972,,,,
16850,IOWA,TAMA,"2,843","9,288,648",272.27,"8,337,257",244.38,"293,449","581,417","76,524","2,687","11,401,902",353.61,0.962,,,,
16860,IOWA,TAYLOR,"1,248","5,284,729",352.88,"4,898,591",327.10,"146,993","202,488","36,655","1,212","5,677,408",390.36,0.924,,,,
16870,IOWA,UNION,"2,309","7,049,393",254.42,"6,680,102",241.09,"140,439","210,137","18,714","2,202","8,676,717",328.37,0.886,,,,
16880,IOWA,VAN BUREN,"1,381","5,400,776",325.90,"4,793,703",289.27,"265,904","274,222","66,944","1,321","4,785,567",301.89,0.873,,,,
16890,IOWA,WAPELLO,"5,639","22,892,655",338.31,"20,595,913",304.37,"590,973","1,577,835","127,932","5,413","19,055,784",293.36,1.010,,,,
16900,IOWA,WARREN,"4,991","16,117,867",269.12,"14,447,597",241.23,"478,943","1,069,975","121,350","4,613","16,955,649",306.30,0.906,,,,
16910,IOWA,WASHINGTON,"3,430","11,234,647",272.95,"10,075,088",244.78,"525,019","466,908","167,630","3,205","11,645,196",302.79,0.932,,,,
16920,IOWA,WAYNE,"1,226","4,101,337",278.77,"3,864,481",262.68,"61,354","156,974","18,527","1,176","4,964,224",351.77,0.977,,,,
16930,IOWA,WEBSTER,"5,993","22,039,015",306.45,"20,417,591",283.91,"500,715","994,364","126,343","5,747","21,775,819",315.76,1.012,,,,
16940,IOWA,WINNEBAGO,"2,107","7,770,056",307.31,"6,993,975",276.62,"366,161","291,847","118,072","2,019","6,945,453",286.67,0.903,,,,
16950,IOWA,WINNESHIEK,"3,046","8,352,773",228.52,"7,624,430",208.59,"413,553","165,716","149,072","2,880","10,376,431",300.24,0.921,,,,
16960,IOWA,WOODBURY,"10,781","38,896,207",300.65,"35,857,611",277.17,"602,502","2,096,543","339,550","9,997","36,188,218",301.66,0.998,,,,
16970,IOWA,WORTH,"1,255","4,154,099",275.84,"3,713,410",246.57,"208,914","171,751","60,022","1,190","4,331,428",303.32,0.915,,,,
16980,IOWA,WRIGHT,"2,559","12,239,954",398.59,"11,715,315",381.51,"212,730","250,868","61,039","2,491","11,983,050",400.88,1.008,,,,
17000,KANSAS,ALLEN,"2,130","9,563,736",374.17,"9,104,138",356.19,"128,156","285,384","46,056","2,048","8,628,474",351.09,0.922,,,,
17010,KANSAS,ANDERSON,"1,413","6,005,482",354.18,"5,735,815",338.28,"92,528","140,018","37,119","1,349","6,667,424",411.87,0.879,,,,
17020,KANSAS,ATCHISON,"2,351","10,498,535",372.13,"9,779,657",346.65,"250,990","380,917","86,969","2,222","7,899,506",296.26,0.918,,,,
17030,KANSAS,BARBER,881,"4,607,373",435.81,"4,438,964",419.88,"57,814","82,629","27,964",841,"3,939,974",390.41,0.912,,,,
17040,KANSAS,BARTON,"4,249","18,222,291",357.38,"17,650,755",346.17,"183,227","311,676","76,631","4,084","21,410,389",436.88,0.966,,,,
17050,KANSAS,BOURBON,"2,316","8,573,531",308.49,"7,896,189",284.12,"107,858","529,214","40,269","2,214","8,618,000",324.38,0.978,,,,
17060,KANSAS,BROWN,"1,695","7,720,852",379.59,"7,436,932",365.63,"54,527","211,456","17,936","1,617","7,054,354",363.55,0.906,,,,
17070,KANSAS,BUTLER,"7,050","25,456,709",300.91,"23,412,426",276.74,"595,300","1,093,866","355,117","6,653","27,464,478",344.01,0.962,,,,
17080,KANSAS,CHASE,459,"1,764,361",320.33,"1,657,364",300.90,"20,477","77,086","9,433",440,"1,504,438",284.93,0.915,,,,
17090,KANSAS,CHAUTAUQUA,713,"3,438,201",401.85,"3,285,861",384.04,"49,067","86,034","17,237",696,"3,007,878",360.14,0.921,,,,
17100,KANSAS,CHEROKEE,"3,009","13,506,680",374.06,"12,230,743",338.73,"104,408","1,122,257","49,270","2,876","11,467,849",332.29,1.027,,,,
17110,KANSAS,CHEYENNE,630,"4,174,007",552.12,"4,031,075",533.21,"25,642","98,859","18,429",611,"3,685,471",502.66,0.891,,,,
17120,KANSAS,CLARK,370,"2,808,455",632.53,"2,745,447",618.34,"18,143","33,758","11,104",358,"1,603,840",373.33,0.992,,,,
17130,KANSAS,CLAY,"1,527","6,115,440",333.74,"5,868,509",320.26,"56,024","171,136","19,770","1,466","6,228,867",354.07,0.885,,,,
17140,KANSAS,CLOUD,"1,817","7,516,144",344.71,"7,335,888",336.45,"58,957","98,311","22,986","1,742","6,387,851",305.58,0.915,,,,
17150,KANSAS,COFFEY,"1,383","5,921,605",356.81,"5,597,384",337.27,"56,873","243,831","23,515","1,312","4,966,200",315.43,0.890,,,,
17160,KANSAS,COMANCHE,428,"1,786,728",347.88,"1,736,786",338.16,"15,846","27,833","6,262",405,"1,730,166",356.00,0.907,,,,
17170,KANSAS,COWLEY,"4,500","15,117,842",279.96,"14,163,904",262.29,"259,866","559,897","134,174","4,261","16,296,996",318.72,0.917,,,,
17180,KANSAS,CRAWFORD,"5,437","26,358,406",404.00,"24,687,663",378.39,"211,013","1,387,178","72,551","5,202","21,175,157",339.22,1.044,,,,
17190,KANSAS,DECATUR,678,"3,618,989",444.81,"3,454,057",424.54,"73,961","83,858","7,111",655,"2,995,549",381.11,0.999,,,,
17200,KANSAS,DICKINSON,"3,012","10,034,881",277.64,"9,560,004",264.50,"147,191","260,382","67,302","2,851","10,294,753",300.91,0.909,,,,
17210,KANSAS,DONIPHAN,"1,205","6,492,283",448.98,"6,163,206",426.22,"73,988","242,180","12,909","1,146","5,118,992",372.24,0.975,,,,
17220,KANSAS,DOUGLAS,"9,831","33,288,113",282.17,"31,728,119",268.95,"545,242","858,457","156,294","8,878","34,564,670",324.44,0.936,,,,
17230,KANSAS,EDWARDS,585,"3,038,655",432.86,"2,952,748",420.62,"26,697","47,434","11,774",542,"2,979,591",458.12,0.938,,,,
17240,KANSAS,ELK,629,"2,577,705",341.51,"2,457,247",325.55,"32,385","70,637","17,435",599,"2,489,163",346.29,0.909,,,,
17250,KANSAS,ELLIS,"3,852","17,649,147",381.82,"17,251,715",373.22,"124,539","227,767","45,124","3,602","16,592,802",383.88,0.965,,,,
17260,KANSAS,ELLSWORTH,"1,038","5,881,622",472.19,"5,747,876",461.45,"53,264","63,225","17,255","1,002","4,984,102",414.51,0.848,,,,
17270,KANSAS,FINNEY,"3,220","13,156,885",340.50,"12,496,797",323.42,"130,475","478,981","50,631","2,908","11,522,789",330.20,0.937,,,,
17280,KANSAS,FORD,"3,181","11,418,073",299.12,"10,746,923",281.54,"115,644","501,579","53,927","2,973","11,760,633",329.65,0.974,,,,
17290,KANSAS,FRANKLIN,"3,328","12,095,739",302.88,"11,736,628",293.89,"79,238","250,847","29,025","3,132","12,785,766",340.19,1.024,,,,
17300,KANSAS,GEARY,"2,356","8,087,300",286.05,"7,671,951",271.36,"52,411","320,704","42,233","2,229","8,722,885",326.11,0.898,,,,
17310,KANSAS,GOVE,623,"3,083,015",412.39,"3,027,637",404.98,"15,455","33,894","6,027",598,"2,539,559",353.90,1.074,,,,
17320,KANSAS,GRAHAM,565,"2,702,403",398.58,"2,653,444",391.36,"17,795","25,184","5,979",548,"2,774,948",421.98,0.928,,,,
17330,KANSAS,GRANT,785,"2,819,304",299.29,"2,669,390",283.37,"35,839","98,908","15,166",736,"3,033,361",343.45,0.889,,,,
17340,KANSAS,GRAY,779,"2,404,367",257.21,"2,230,634",238.62,"40,848","115,157","17,727",743,"2,922,256",327.75,0.852,,,,
17350,KANSAS,GREELEY,243,"1,427,535",489.55,"1,390,282",476.78,"6,176","27,737","3,338",230,"1,217,075",440.97,1.007,,,,
17360,KANSAS,GREENWOOD,"1,338","6,618,942",412.24,"6,219,443",387.36,"108,834","238,603","52,060","1,281","6,241,188",406.01,0.943,,,,
17370,KANSAS,HAMILTON,366,"2,622,539",597.12,"2,508,690",571.20,"23,371","82,413","8,064",342,"1,808,201",440.59,0.986,,,,
17380,KANSAS,HARPER,"1,082","4,664,935",359.28,"4,329,716",333.47,"105,837","172,232","57,149","1,039","4,307,488",345.48,0.883,,,,
17390,KANSAS,HARVEY,"5,006","15,471,856",257.56,"14,487,304",241.17,"305,371","520,524","158,655","4,694","19,879,211",352.92,1.022,,,,
17391,KANSAS,HASKELL,409,"1,947,153",396.73,"1,874,156",381.86,"14,146","50,735","8,115",380,"2,002,066",439.05,0.934,,,,
17410,KANSAS,HODGEMAN,313,"1,143,704",304.50,"1,107,870",294.96,"6,843","25,367","3,622",294,"1,211,595",343.42,0.853,,,,
17420,KANSAS,JACKSON,"1,931","6,687,168",288.59,"6,299,409",271.85,"34,673","342,104","10,980","1,846","7,869,699",355.26,0.836,,,,
17430,KANSAS,JEFFERSON,"2,680","9,870,161",306.91,"9,201,096",286.10,"105,757","529,933","33,373","2,515","8,914,899",295.39,0.888,,,,
17440,KANSAS,JEWELL,726,"3,170,926",363.97,"3,090,430",354.73,"22,130","50,658","7,706",695,"3,111,939",373.13,0.841,,,,
17450,KANSAS,JOHNSON,"45,161","167,634,117",309.33,"158,916,959",293.24,"3,117,906","4,342,340","1,256,911","40,164","168,320,764",349.24,0.951,,,,
17451,KANSAS,KEARNY,472,"2,500,162",441.41,"2,394,996",422.85,"33,709","60,798","10,657",438,"2,000,270",380.57,0.897,,,,
17470,KANSAS,KINGMAN,"1,356","6,260,897",384.77,"6,025,144",370.28,"65,239","132,392","38,120","1,296","6,327,077",406.83,1.013,,,,
17480,KANSAS,KIOWA,466,"2,893,762",517.48,"2,835,353",507.04,"16,023","33,208","9,176",440,"1,899,944",359.84,0.885,,,,
17490,KANSAS,LABETTE,"3,249","12,661,928",324.76,"11,833,944",303.53,"76,466","710,994","40,523","3,096","11,638,727",313.27,1.039,,,,
17500,KANSAS,LANE,380,"2,011,111",441.03,"1,964,901",430.90,"15,205","24,684","6,319",369,"2,186,777",493.85,0.984,,,,
17510,KANSAS,LEAVENWORTH,"6,848","28,821,172",350.72,"26,560,799",323.22,"622,174","1,414,812","223,386","6,357","24,674,994",323.46,0.971,,,,
17520,KANSAS,LINCOLN,566,"4,946,348",728.26,"4,865,859",716.41,"25,943","44,589","9,955",543,"2,866,981",439.99,0.936,,,,
17530,KANSAS,LINN,"1,363","5,232,782",319.93,"5,062,527",309.52,"44,632","108,108","17,513","1,271","5,165,684",338.69,0.915,,,,
17540,KANSAS,LOGAN,553,"2,978,735",448.88,"2,910,713",438.62,"15,522","46,011","6,487",530,"2,912,756",457.98,1.085,,,,
17550,KANSAS,LYON,"4,354","15,467,927",296.05,"14,387,850",275.38,"259,534","720,373","100,168","4,110","15,593,116",316.16,0.908,,,,
17560,KANSAS,MCPHERSON,"4,721","16,841,445",297.28,"16,138,400",284.87,"212,155","403,103","87,786","4,479","18,891,213",351.48,0.924,,,,
17570,KANSAS,MARION,"2,344","8,598,404",305.69,"8,212,014",291.95,"122,268","201,144","62,977","2,256","9,348,337",345.31,0.904,,,,
17580,KANSAS,MARSHALL,"1,993","7,390,511",309.02,"7,136,411",298.39,"51,322","185,467","17,308","1,910","7,170,335",312.84,0.882,,,,
17590,KANSAS,MEADE,707,"5,068,409",597.41,"4,899,663",577.52,"50,407","102,311","16,026",668,"3,523,251",439.53,0.973,,,,
17600,KANSAS,MIAMI,"2,834","10,488,833",308.42,"10,236,277",301.00,"92,232","124,990","35,333","2,645","10,293,918",324.32,0.932,,,,
17610,KANSAS,MITCHELL,"1,243","6,534,924",438.12,"6,394,639",428.71,"46,189","76,480","17,615","1,190","4,684,811",328.07,0.932,,,,
17620,KANSAS,MONTGOMERY,"5,833","24,551,110",350.75,"23,087,650",329.84,"257,551","1,110,696","95,211","5,586","21,343,242",318.40,0.997,,,,
17630,KANSAS,MORRIS,"1,208","5,108,594",352.41,"4,904,267",338.32,"39,621","148,247","16,458","1,145","5,111,707",372.03,0.911,,,,
17640,KANSAS,MORTON,476,"2,253,630",394.54,"2,186,227",382.74,"11,879","49,957","5,566",444,"1,948,314",365.67,0.933,,,,
17650,KANSAS,NEMAHA,"1,879","7,864,350",348.78,"7,524,238",333.70,"69,562","252,715","17,833","1,814","7,346,778",337.50,0.913,,,,
17660,KANSAS,NEOSHO,"2,592","11,621,348",373.63,"11,066,657",355.80,"135,101","361,470","58,118","2,479","11,069,648",372.11,0.947,,,,
17670,KANSAS,NESS,725,"3,815,186",438.53,"3,747,570",430.76,"23,718","33,989","9,908",701,"3,893,525",462.85,1.049,,,,
17680,KANSAS,NORTON,915,"3,808,233",346.83,"3,663,277",333.63,"26,602","110,504","7,849",861,"3,692,689",357.40,0.909,,,,
17690,KANSAS,OSAGE,"2,403","8,415,837",291.85,"7,755,365",268.95,"42,746","599,641","18,083","2,284","7,945,965",289.91,0.873,,,,
17700,KANSAS,OSBORNE,889,"5,613,183",526.17,"5,499,806",515.54,"37,760","61,018","14,597",855,"4,022,663",392.07,0.960,,,,
17710,KANSAS,OTTAWA,895,"4,156,553",387.02,"4,048,842",376.99,"41,465","51,825","14,419",854,"3,000,858",292.82,0.884,,,,
17720,KANSAS,PAWNEE,760,"5,032,811",551.84,"4,959,415",543.80,"25,471","35,551","12,373",735,"4,147,858",470.28,0.933,,,,
17730,KANSAS,PHILLIPS,"1,123","6,124,490",454.47,"6,019,251",446.66,"20,619","78,646","5,971","1,091","5,732,183",437.84,0.952,,,,
17740,KANSAS,POTTAWATOMIE,"2,254","8,388,145",310.12,"8,093,699",299.23,"29,376","254,133","10,935","2,119","10,188,475",400.68,0.933,,,,
17750,KANSAS,PRATT,"1,567","6,299,761",335.02,"6,017,790",320.03,"78,521","165,862","37,587","1,505","6,938,198",384.17,0.929,,,,
17760,KANSAS,RAWLINS,592,"3,523,246",495.95,"3,422,658",481.79,"15,443","70,822","14,322",576,"3,332,265",482.10,0.900,,,,
17770,KANSAS,RENO,"10,190","34,939,373",285.73,"34,106,866",278.92,"258,987","449,016","124,503","9,739","45,973,135",393.38,0.946,,,,
17780,KANSAS,REPUBLIC,"1,158","4,841,911",348.44,"4,741,561",341.22,"22,516","70,867","6,965","1,121","3,614,412",268.69,0.883,,,,
17790,KANSAS,RICE,"1,689","8,678,224",428.17,"8,490,709",418.92,"65,205","98,509","23,799","1,607","7,978,337",413.73,0.904,,,,
17800,KANSAS,RILEY,"5,174","15,866,175",255.54,"15,303,341",246.48,"140,938","371,850","50,045","4,678","19,222,733",342.43,0.979,,,,
17810,KANSAS,ROOKS,"1,010","5,392,223",444.90,"5,306,898",437.86,"28,330","47,106","9,887",971,"4,890,395",419.70,0.941,,,,
17820,KANSAS,RUSH,738,"3,413,358",385.43,"3,354,626",378.80,"18,309","33,483","6,938",702,"3,530,362",419.08,0.983,,,,
17830,KANSAS,RUSSELL,"1,515","8,097,960",445.43,"7,987,228",439.34,"36,198","58,502","16,031","1,459","7,335,178",418.96,0.987,,,,
17840,KANSAS,SALINE,"7,261","25,736,990",295.38,"24,518,422",281.39,"425,372","615,095","178,099","6,822","26,255,480",320.72,0.933,,,,
17841,KANSAS,SCOTT,460,"2,623,564",475.28,"2,584,381",468.18,"11,118","24,579","3,485",433,"1,910,050",367.60,0.886,,,,
17860,KANSAS,SEDGWICK,"48,532","187,642,080",322.20,"164,944,801",283.22,"6,930,316","10,995,911","4,771,052","45,024","182,231,092",337.29,0.971,,,,
17870,KANSAS,SEWARD,"1,707","6,210,055",303.17,"5,889,917",287.54,"57,772","239,497","22,868","1,552","5,946,008",319.27,0.928,,,,
17880,KANSAS,SHAWNEE,"24,057","93,291,336",323.16,"86,588,935",299.94,"502,631","6,030,577","169,191","22,517","85,964,883",318.15,0.947,,,,
17890,KANSAS,SHERIDAN,454,"2,036,134",373.74,"1,981,605",363.73,"8,422","38,861","7,245",435,"2,093,501",401.05,0.965,,,,
17900,KANSAS,SHERMAN,"1,034","5,553,829",447.60,"5,324,087",429.09,"55,484","147,846","26,411",982,"5,491,608",466.02,0.981,,,,
17910,KANSAS,SMITH,954,"3,029,376",264.62,"2,955,898",258.20,"14,343","52,755","6,378",910,"4,143,903",379.48,0.865,,,,
17920,KANSAS,STAFFORD,"1,103","4,758,714",359.53,"4,637,559",350.37,"38,076","61,359","21,719","1,036","5,010,668",403.05,0.946,,,,
17921,KANSAS,STANTON,321,"1,042,968",270.76,"995,761",258.50,"9,681","33,640","3,885",304,"1,223,255",335.32,1.001,,,,
17940,KANSAS,STEVENS,663,"2,764,097",347.42,"2,676,914",336.46,"19,842","57,850","9,490",611,"3,228,880",440.38,0.965,,,,
17950,KANSAS,SUMNER,"3,449","10,821,141",261.46,"9,809,460",237.01,"291,833","535,728","184,118","3,265","12,102,730",308.90,0.881,,,,
17960,KANSAS,THOMAS,"1,072","6,098,423",474.07,"5,877,580",456.90,"39,611","154,041","27,189","1,028","5,367,360",435.10,1.005,,,,
17970,KANSAS,TREGO,611,"3,985,618",543.59,"3,953,670",539.23,"6,960","20,032","4,955",590,"3,844,267",542.98,1.170,,,,
17980,KANSAS,WABAUNSEE,983,"3,589,930",304.33,"3,358,046",284.68,"14,005","211,730","6,148",928,"3,322,347",298.34,0.886,,,,
17981,KANSAS,WALLACE,292,"1,363,877",389.23,"1,320,985",376.99,"14,438","25,607","2,845",289,"1,742,756",502.52,0.963,,,,
17982,KANSAS,WASHINGTON,"1,267","5,322,642",350.08,"5,167,731",339.89,"25,871","117,614","11,424","1,204","4,845,700",335.39,0.898,,,,
17983,KANSAS,WICHITA,355,"1,918,872",450.44,"1,888,313",443.27,"5,848","21,528","3,181",323,"1,696,399",437.67,0.876,,,,
17984,KANSAS,WILSON,"1,619","8,336,294",429.09,"8,070,216",415.39,"63,378","172,456","30,242","1,557","8,216,083",439.74,0.957,,,,
17985,KANSAS,WOODSON,668,"3,737,066",466.20,"3,600,438",449.16,"23,257","102,862","10,508",635,"2,778,710",364.66,0.981,,,,
17986,KANSAS,WYANDOTTE,"11,732","57,072,265",405.39,"51,724,480",367.40,"1,728,803","2,842,667","776,313","10,598","42,722,942",335.94,1.025,,,,
18000,KENTUCKY,ADAIR,"2,319","13,985,610",502.57,"12,321,759",442.78,"166,251","1,440,016","57,583","2,230","9,414,780",351.82,0.995,,,,
18010,KENTUCKY,ALLEN,"2,308","11,958,943",431.79,"10,962,294",395.81,"74,929","900,096","21,622","2,248","8,922,355",330.75,0.903,,,,
18020,KENTUCKY,ANDERSON,"2,160","7,919,980",305.55,"7,095,765",273.76,"169,005","594,263","60,945","2,031","7,766,971",318.68,0.953,,,,
18030,KENTUCKY,BALLARD,"1,588","7,136,212",374.49,"6,849,224",359.43,"31,795","246,036","9,157","1,525","5,982,583",326.92,1.003,,,,
18040,KENTUCKY,BARREN,"5,116","22,780,988",371.07,"19,665,588",320.33,"508,759","2,402,795","203,844","4,947","20,316,381",342.23,0.962,,,,
18050,KENTUCKY,BATH,"1,216","5,181,756",355.11,"4,356,528",298.56,"161,484","613,083","50,659","1,190","4,882,041",341.88,1.019,,,,
18060,KENTUCKY,BELL,"3,694","17,530,884",395.48,"15,696,979",354.11,"243,139","1,470,218","120,547","3,663","17,255,812",392.57,1.050,,,,
18070,KENTUCKY,BOONE,"8,838","42,605,446",401.73,"39,066,338",368.36,"800,616","2,470,339","268,153","8,054","32,856,681",339.96,0.980,,,,
18080,KENTUCKY,BOURBON,"2,096","8,356,370",332.23,"7,460,939",296.63,"185,045","655,644","54,741","1,957","8,093,986",344.66,0.997,,,,
18090,KENTUCKY,BOYD,"6,601","34,801,575",439.35,"30,696,931",387.53,"242,346","3,784,989","77,308","6,405","30,212,080",393.08,1.110,,,,
18100,KENTUCKY,BOYLE,"3,928","16,325,607",346.35,"14,366,207",304.78,"274,559","1,597,177","87,663","3,768","16,502,917",364.98,0.948,,,,
18110,KENTUCKY,BRACKEN,"1,020","5,221,061",426.56,"4,676,998",382.11,"140,192","358,194","45,676",982,"3,883,963",329.60,0.991,,,,
18120,KENTUCKY,BREATHITT,"1,534","7,915,918",430.03,"7,089,204",385.12,"88,374","711,482","26,855","1,534","7,257,347",394.25,1.084,,,,
18130,KENTUCKY,BRECKINRIDGE,"2,356","9,213,622",325.89,"8,537,737",301.99,"127,679","512,767","35,437","2,277","8,617,367",315.38,0.953,,,,
18140,KENTUCKY,BULLITT,"5,240","24,498,047",389.60,"21,161,330",336.54,"569,982","2,556,512","210,222","4,935","22,621,372",381.99,0.996,,,,
18150,KENTUCKY,BUTLER,"1,345","7,117,077",440.96,"6,448,419",399.53,"47,765","611,413","9,478","1,319","5,722,265",361.53,1.025,,,,
18160,KENTUCKY,CALDWELL,"2,085","9,287,670",371.21,"8,829,375",352.89,"117,352","308,151","32,790","2,004","7,864,352",327.03,0.969,,,,
18170,KENTUCKY,CALLOWAY,"4,659","17,817,501",318.69,"16,385,097",293.07,"209,695","1,184,013","38,694","4,458","17,089,759",319.46,0.952,,,,
18180,KENTUCKY,CAMPBELL,"7,541","38,204,951",422.19,"35,290,034",389.98,"736,048","1,921,165","257,703","6,873","27,896,783",338.24,1.019,,,,
18190,KENTUCKY,CARLISLE,834,"3,976,248",397.31,"3,809,840",380.68,"10,257","153,526","2,624",806,"3,079,863",318.43,1.048,,,,
18191,KENTUCKY,CARROLL,"1,249","6,823,316",455.25,"6,268,939",418.26,"102,645","421,769","29,961","1,148","5,010,615",363.72,1.033,,,,
18210,KENTUCKY,CARTER,"2,684","11,906,343",369.67,"10,326,451",320.62,"118,378","1,419,122","42,390","2,618","10,876,696",346.22,1.016,,,,
18220,KENTUCKY,CASEY,"1,971","10,306,193",435.74,"9,480,232",400.82,"84,453","709,931","31,576","1,915","10,617,713",462.04,0.994,,,,
18230,KENTUCKY,CHRISTIAN,"6,353","25,326,456",332.21,"22,790,621",298.95,"283,951","2,182,375","69,508","6,098","23,931,937",327.05,1.015,,,,
18240,KENTUCKY,CLARK,"3,911","19,822,061",422.36,"17,611,867",375.26,"444,514","1,618,201","147,478","3,705","16,430,885",369.57,1.027,,,,
18250,KENTUCKY,CLAY,"2,200","16,172,040",612.58,"13,071,339",495.13,"198,825","2,833,760","68,115","2,265","11,249,326",413.88,1.088,,,,
18260,KENTUCKY,CLINTON,"1,439","7,818,605",452.78,"6,828,501",395.44,"98,341","864,619","27,144","1,426","6,992,854",408.65,0.947,,,,
18270,KENTUCKY,CRITTENDEN,"1,380","7,087,750",428.00,"6,751,360",407.69,"47,774","279,117","9,498","1,346","5,615,146",347.64,0.964,,,,
